tid,entity_one_name,entity_one_id,entity_one_type,entity_two_name,entity_two_id,entity_two_type,relation_name,pmid,sentance,score,sentence,source_id,head_entity,head_entity_type,head_entity_id,tail_entity,tail_entity_type,tail_entity_id,article_title,article_authors,article_first_author,article_journal,article_publication_year,article_publication_type,contextual_features
"C0011570.C0004936.2.21521605.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","21521605","Depression is a common and debilitating psychiatric syndrome with a complex risk architecture marked by interacting genetic and environmental factors.","17.16064","Depression is a common and debilitating psychiatric syndrome with a complex risk architecture marked by interacting genetic and environmental factors.","","depression","disease","C0011570","Mental disorders","disease","C0004936","A new, blue gene highlights glutamate and hippocampus in depression.","Tost Heike, Meyer-Lindenberg Andreas","Tost Heike","Neuron","2011","Comment, Journal Article","[object Object]"
"C0011570.C0004936.2.10911826.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","10911826","The overlap of symptoms in chronic fatigue syndrome (CFS) and psychiatric disorders such as depression can complicate diagnosis.","17.14","The overlap of symptoms in chronic fatigue syndrome (CFS) and psychiatric disorders such as depression can complicate diagnosis.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Diagnosis of psychiatric disorder in clinical evaluation of chronic fatigue syndrome.","Deale A, Wessely S","Deale A","Journal of the Royal Society of Medicine","2000","Journal Article","[object Object]"
"C0011570.C0004936.2.35013163.3.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","35013163","We find that genetic variation with concordant effects in both phenotypes shows significant SNP-based heritability enrichment, higher polygenic contribution in females, and positive covariance with mental disorders such as depression, anxiety, attention-deficit hyperactivity disorder, alcohol dependence, and autism.","17.13082","We find that genetic variation with concordant effects in both phenotypes shows significant SNP-based heritability enrichment, higher polygenic contribution in females, and positive covariance with mental disorders such as depression, anxiety, attention-deficit hyperactivity disorder, alcohol dependence, and autism.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Polygenic contribution to the relationship of loneliness and social isolation with schizophrenia.","Andreu-Bernabeu Álvaro, Díaz-Caneja Covadonga M, Costas Javier, De Hoyos Lucía, Stella Carol, Gurriarán Xaquín, Alloza Clara, Fañanás Lourdes, Bobes Julio, González-Pinto Ana, Crespo-Facorro Benedicto, Martorell Lourdes, Vilella Elisabet, Muntané Gerard, Nacher Juan, Molto María Dolores, Aguilar Eduardo Jesús, Parellada Mara, Arango Celso, González-Peñas Javier","Andreu-Bernabeu Álvaro","Nature communications","2022","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.18538868.2.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","18538868","Previously of interest in demyelinating diseases such as multiple sclerosis, myelin is attracting new interest as an unexpected contributor to a wide range of psychiatric disorders, including depression and schizophrenia.","17.10934","Previously of interest in demyelinating diseases such as multiple sclerosis, myelin is attracting new interest as an unexpected contributor to a wide range of psychiatric disorders, including depression and schizophrenia.","","depression","disease","C0011570","Mental disorders","disease","C0004936","White matter in learning, cognition and psychiatric disorders.","Fields R Douglas","Fields R Douglas","Trends in neurosciences","2008","Journal Article, Research Support, N.I.H., Intramural, Review","[object Object]"
"C0011570.C0004936.2.23384445.5.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","23384445","Ongoing and future animal and clinical studies aimed at understanding the microbiota-gut-brain axis may provide novel approaches for prevention and treatment of mental illness, including anxiety and depression.","17.10934","Ongoing and future animal and clinical studies aimed at understanding the microbiota-gut-brain axis may provide novel approaches for prevention and treatment of mental illness, including anxiety and depression.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Gut-brain axis: how the microbiome influences anxiety and depression.","Foster Jane A, McVey Neufeld Karen-Anne","Foster Jane A","Trends in neurosciences","2013","Journal Article, Research Support, Non-U.S. Gov't, Review","[object Object]"
"C0011570.C0004936.2.22243764.10.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","22243764","  CONCLUSIONS Pediatric patients with psoriasis had an increased risk of developing psychiatric disorders, including depression and anxiety, compared with psoriasis-free control subjects.","17.06461","  CONCLUSIONS Pediatric patients with psoriasis had an increased risk of developing psychiatric disorders, including depression and anxiety, compared with psoriasis-free control subjects.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Risks of developing psychiatric disorders in pediatric patients with psoriasis.","Kimball Alexa B, Wu Eric Q, Guérin Annie, Yu Andrew P, Tsaneva Magda, Gupta Shiraz R, Bao Yanjun, Mulani Parvez M","Kimball Alexa B","Journal of the American Academy of Dermatology","2012","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.35798934.13.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","35798934","It would also be encouraging to see a greater number of meta-analyses and further systematic reviews on performance of AI models in diagnosing other common mental disorders such as depression and anxiety.","17.06071","It would also be encouraging to see a greater number of meta-analyses and further systematic reviews on performance of AI models in diagnosing other common mental disorders such as depression and anxiety.","","depression","disease","C0011570","Mental disorders","disease","C0004936","The performance of artificial intelligence-driven technologies in diagnosing mental disorders: an umbrella review.","Abd-Alrazaq Alaa, Alhuwail Dari, Schneider Jens, Toro Carla T, Ahmed Arfan, Alzubaidi Mahmood, Alajlani Mohannad, Househ Mowafa","Abd-Alrazaq Alaa","NPJ digital medicine","2022","Journal Article, Review","[object Object]"
"C0011570.C0004936.2.37931455.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","37931455","Depression is a type of mental disorder with a significant and persistent low mood as the main clinical feature.","17.05912","Depression is a type of mental disorder with a significant and persistent low mood as the main clinical feature.","","depression","disease","C0011570","Mental disorders","disease","C0004936","The novel design of an intelligent anti-depression transdermal drug delivery system.","Liu Sijia, Huang Shengxin, Liu Kunliang, Han Yuexia, Xiong Fei","Liu Sijia","Biomaterials","2023","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0036341.C0004936.2.18511947.1.0","Schizophrenia","C0036341","disease","Mental disorders","C0004936","disease","hyponym_of","18511947","Schizophrenia is an etiologically heterogeneous psychiatric disease, which exists in familial and nonfamilial (sporadic) forms.","17.03921","Schizophrenia is an etiologically heterogeneous psychiatric disease, which exists in familial and nonfamilial (sporadic) forms.","","Schizophrenia","disease","C0036341","Mental disorders","disease","C0004936","Strong association of de novo copy number mutations with sporadic schizophrenia.","Xu Bin, Roos J Louw, Levy Shawn, van Rensburg E J, Gogos Joseph A, Karayiorgou Maria","Xu Bin","Nature genetics","2008","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.37581926.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","37581926","BACKGROUND: Depression is one of the most common mental illnesses, and it may have a lasting effect on one&#x27;s whole life.","17.03671","BACKGROUND: Depression is one of the most common mental illnesses, and it may have a lasting effect on one&#x27;s whole life.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Association of Catastrophic Health Expenditure With the Risk of Depression in Chinese Adults: Population-Based Cohort Study.","Wang Yaping, Liang Wannian, Liu Min, Liu Jue","Wang Yaping","JMIR public health and surveillance","2023","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.22981053.5.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","22981053","Schizophrenia and Depression were identified as mental illnesses by 72% and 64% respectively.","17.0167","Schizophrenia and Depression were identified as mental illnesses by 72% and 64% respectively.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Mental health literacy survey among Sri Lankan carers of patients with schizophrenia and depression.","Ediriweera Harsha W, Fernando Sunera M, Pai Nagesh B","Ediriweera Harsha W","Asian journal of psychiatry","2012","Journal Article","[object Object]"
"C0011570.C0004936.2.23051116.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","23051116","Depression and insomnia are common psychiatric disorders among elderly people and reported to be related to several social and health factors.","17.0167","Depression and insomnia are common psychiatric disorders among elderly people and reported to be related to several social and health factors.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Determinants of depression and insomnia among institutionalized elderly people in Malaysia.","Shahar Suzana, Hassan Junaidah, Sundar Vatana V, Kong Ai Yun Wenty, Ping Chin Sook, Ahmad Samsul Anuar, Kuan Lee Lai","Shahar Suzana","Asian journal of psychiatry","2011","Journal Article","[object Object]"
"C0011570.C0004936.2.27025473.0.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","27025473","Prevalence of anxiety and depression symptoms and their relationship with other coronary artery disease risk factors: A population-based study on 5900 residents in Southeast Iran. INTRODUCTION Anxiety and depression are reported as the most prevalent psychiatric disorders worldwide.","17.0167","Prevalence of anxiety and depression symptoms and their relationship with other coronary artery disease risk factors: A population-based study on 5900 residents in Southeast Iran. INTRODUCTION Anxiety and depression are reported as the most prevalent psychiatric disorders worldwide.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Prevalence of anxiety and depression symptoms and their relationship with other coronary artery disease risk factors: A population-based study on 5900 residents in Southeast Iran.","Najafipour Hamid, Banivaheb Ghodsiyeh, Sabahi Abdolreza, Naderi Nasrollah, Nasirian Maryam, Mirzazadeh Ali","Najafipour Hamid","Asian journal of psychiatry","2016","Journal Article","[object Object]"
"C0011570.C0004936.2.29117922.2.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","29117922","Poverty, civil conflict and environmental stressors tend to be endemic in these countries and contribute to significant psychiatric morbidity, including depression, anxiety and post-traumatic stress disorder (PTSD).","17.0167","Poverty, civil conflict and environmental stressors tend to be endemic in these countries and contribute to significant psychiatric morbidity, including depression, anxiety and post-traumatic stress disorder (PTSD).","","depression","disease","C0011570","Mental disorders","disease","C0004936","Depression, anxiety, and post-traumatic stress disorder among youth in low and middle income countries: A review of prevalence and treatment interventions.","Yatham Swetha, Sivathasan Shalini, Yoon Rosalia, da Silva Tricia L, Ravindran Arun V","Yatham Swetha","Asian journal of psychiatry","2018","Journal Article, Review","[object Object]"
"C0011570.C0004936.2.37517332.11.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","37517332","The most prevalent mental disorders among Yazidi people of all ages and sexes are PTSD, depression, and anxiety disorders.","17.0087","The most prevalent mental disorders among Yazidi people of all ages and sexes are PTSD, depression, and anxiety disorders.","","depression","disease","C0011570","Mental disorders","disease","C0004936","The prevalence of psychiatric disorders among Yazidi people results from ISIS invasion and consecutive trauma: A systematic review.","Ahmed Darya Rostam, Heun Reinhard","Ahmed Darya Rostam","Asian journal of psychiatry","2023","Journal Article","[object Object]"
"C0011570.C0004936.2.21968929.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","21968929","It is increasingly recognized that we need a better understanding of how mental disorders such as depression alter the brain's functional connections to improve both early diagnosis and therapy.","17.00311","It is increasingly recognized that we need a better understanding of how mental disorders such as depression alter the brain's functional connections to improve both early diagnosis and therapy.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Depression uncouples brain hate circuit.","Tao H, Guo S, Ge T, Kendrick K M, Xue Z, Liu Z, Feng J","Tao H","Molecular psychiatry","2013","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.22182940.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","22182940","Anxiety and depression are devastating mental illnesses that are a significant public health concern.","17.00311","Anxiety and depression are devastating mental illnesses that are a significant public health concern.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Little things on which happiness depends: microRNAs as novel therapeutic targets for the treatment of anxiety and depression.","O'Connor R M, Dinan T G, Cryan J F","O'Connor R M","Molecular psychiatry","2012","Journal Article, Review","[object Object]"
"C0011570.C0004936.2.27457815.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","27457815","Chronic stress has a crucial role in the development of psychiatric diseases, such as anxiety and depression.","17.00311","Chronic stress has a crucial role in the development of psychiatric diseases, such as anxiety and depression.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Cellular and molecular basis for stress-induced depression.","Seo J-S, Wei J, Qin L, Kim Y, Yan Z, Greengard P","Seo J-S","Molecular psychiatry","2017","Journal Article, Research Support, U.S. Gov't, Non-P.H.S., Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.29520039.2.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","29520039","In particular, this transgenerational modulation of phenotypic traits is of direct relevance to psychiatric disorders, including depression, post-traumatic stress disorder, and other anxiety disorders.","17.00311","In particular, this transgenerational modulation of phenotypic traits is of direct relevance to psychiatric disorders, including depression, post-traumatic stress disorder, and other anxiety disorders.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Transgenerational epigenetic influences of paternal environmental exposures on brain function and predisposition to psychiatric disorders.","Yeshurun Shlomo, Hannan Anthony J","Yeshurun Shlomo","Molecular psychiatry","2019","Journal Article, Research Support, Non-U.S. Gov't, Review","[object Object]"
"C0011570.C0004936.2.32606373.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","32606373","Depression is one of the common psychiatric disorders in old age.","17.00311","Depression is one of the common psychiatric disorders in old age.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Excess tau PET ligand retention in elderly patients with major depressive disorder.","Moriguchi Sho, Takahata Keisuke, Shimada Hitoshi, Kubota Manabu, Kitamura Soichiro, Kimura Yasuyuki, Tagai Kenji, Tarumi Ryosuke, Tabuchi Hajime, Meyer Jeffrey H, Mimura Masaru, Kawamura Kazunori, Zhang Ming-Rong, Murayama Shigeo, Suhara Tetsuya, Higuchi Makoto","Moriguchi Sho","Molecular psychiatry","2021","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.33144710.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","33144710","Depression is a common mental illness, affecting more than 300 million people worldwide.","17.00311","Depression is a common mental illness, affecting more than 300 million people worldwide.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Oligodendrocyte lineage cells and depression.","Zhou Butian, Zhu Zhongqun, Ransom Bruce R, Tong Xiaoping","Zhou Butian","Molecular psychiatry","2021","Journal Article, Research Support, Non-U.S. Gov't, Review","[object Object]"
"C0011570.C0004936.2.34997195.4.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","34997195","In this study, we focused on eight common mental disorders, including ADHD, depression, anxiety, autism, intellectual disabilities, speech/language disorder, delays in developments, and oppositional defiant disorder in the ethnic minority of African Americans.","17.00311","In this study, we focused on eight common mental disorders, including ADHD, depression, anxiety, autism, intellectual disabilities, speech/language disorder, delays in developments, and oppositional defiant disorder in the ethnic minority of African Americans.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Application of deep learning algorithm on whole genome sequencing data uncovers structural variants associated with multiple mental disorders in African American patients.","Liu Yichuan, Qu Hui-Qi, Mentch Frank D, Qu Jingchun, Chang Xiao, Nguyen Kenny, Tian Lifeng, Glessner Joseph, Sleiman Patrick M A, Hakonarson Hakon","Liu Yichuan","Molecular psychiatry","2022","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.30214045.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","30214045","Depression is a devastating mental disorder that affects millions of people worldwide.","17.00311","Depression is a devastating mental disorder that affects millions of people worldwide.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Linking unfolded protein response to inflammation and depression: potential pathologic and therapeutic implications.","Ii Timberlake Matthew, Dwivedi Yogesh","Ii Timberlake Matthew","Molecular psychiatry","2019","Journal Article, Research Support, N.I.H., Extramural, Research Support, Non-U.S. Gov't, Review","[object Object]"
"C0011570.C0004936.2.30149102.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","30149102","Depression and schizophrenia are burdensome, costly serious and disabling mental disorders.","17.002","Depression and schizophrenia are burdensome, costly serious and disabling mental disorders.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Depression and schizophrenia viewed from the perspective of amino acidergic neurotransmission: Antipodes of psychiatric disorders.","Wierońska Joanna M, Pilc Andrzej","Wierońska Joanna M","Pharmacology & therapeutics","2019","Journal Article, Research Support, Non-U.S. Gov't, Review","[object Object]"
"C0011570.C0004936.2.30646131.1.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","30646131","Importance Depression is a frequently occurring mental disorder and may be common in adults with autism spectrum disorders (ASD), but there is a lack of longitudinal population-based studies examining this association.","17.00059","Importance Depression is a frequently occurring mental disorder and may be common in adults with autism spectrum disorders (ASD), but there is a lack of longitudinal population-based studies examining this association.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Association Between Autism Spectrum Disorders With or Without Intellectual Disability and Depression in Young Adulthood.","Rai Dheeraj, Heuvelman Hein, Dalman Christina, Culpin Iryna, Lundberg Michael, Carpenter Peter, Magnusson Cecilia","Rai Dheeraj","JAMA network open","2018","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.37052917.7.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","37052917","EXPOSURES: Type 1 diabetes and psychiatric disorders (including neurodevelopmental disorders, depression, anxiety disorders, eating disorders, bipolar disorder, psychotic disorder, and substance misuse) diagnosed before 16 years of age.","17.00059","EXPOSURES: Type 1 diabetes and psychiatric disorders (including neurodevelopmental disorders, depression, anxiety disorders, eating disorders, bipolar disorder, psychotic disorder, and substance misuse) diagnosed before 16 years of age.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Educational Outcomes in Children and Adolescents With Type 1 Diabetes and Psychiatric Disorders.","Liu Shengxin, Ludvigsson Jonas F, Lichtenstein Paul, Gudbjörnsdottir Soffia, Taylor Mark J, Larsson Henrik, Kuja-Halkola Ralf, Butwicka Agnieszka","Liu Shengxin","JAMA network open","2023","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.37773493.9.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","37773493","EXPOSURE: Clinical diagnoses of a mental disorder, including substance abuse, psychotic disorders, depression, anxiety, stress-related disorders, attention-deficit/hyperactivity disorder, autism, and intellectual disability, prior to cervical cancer.","17.00059","EXPOSURE: Clinical diagnoses of a mental disorder, including substance abuse, psychotic disorders, depression, anxiety, stress-related disorders, attention-deficit/hyperactivity disorder, autism, and intellectual disability, prior to cervical cancer.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Overall and Cervical Cancer Survival in Patients With and Without Mental Disorders.","Herweijer Eva, Wang Jiangrong, Hu Kejia, Valdimarsdóttir Unnur A, Adami Hans-Olov, Sparén Pär, Sundström Karin, Fang Fang","Herweijer Eva","JAMA network open","2023","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.37847498.2.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","37847498","OBJECTIVES: To examine the temporal risk patterns of psychiatric disorders, including depression, anxiety, stress-related disorders, substance use disorders, sleep disorders, somatoform/conversion disorders, and psychotic disorders, among patients with dementia before, at the time of, and after receipt of a diagnosis.","17.00059","OBJECTIVES: To examine the temporal risk patterns of psychiatric disorders, including depression, anxiety, stress-related disorders, substance use disorders, sleep disorders, somatoform/conversion disorders, and psychotic disorders, among patients with dementia before, at the time of, and after receipt of a diagnosis.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Psychiatric Disorders Before and After Dementia Diagnosis.","Mo Minjia, Zacarias-Pons Lluis, Hoang Minh Tuan, Mostafaei Shayan, Jurado Pol Grau, Stark Isidora, Johnell Kristina, Eriksdotter Maria, Xu Hong, Garcia-Ptacek Sara","Mo Minjia","JAMA network open","2023","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
"C0011570.C0004936.2.10885163.3.0","depression","C0011570","disease","Mental disorders","C0004936","disease","hyponym_of","10885163","Data from the Australian National Survey of Mental Health and Wellbeing about the two commonest mental disorders, generalized anxiety disorder and depression, have been used in examining these issues.","16.99893","Data from the Australian National Survey of Mental Health and Wellbeing about the two commonest mental disorders, generalized anxiety disorder and depression, have been used in examining these issues.","","depression","disease","C0011570","Mental disorders","disease","C0004936","Why does the burden of disease persist? Relating the burden of anxiety and depression to effectiveness of treatment.","Andrews G, Sanderson K, Slade T, Issakidis C","Andrews G","Bulletin of the World Health Organization","2000","Journal Article, Research Support, Non-U.S. Gov't","[object Object]"
